academia cursor	akatemian vahtimestari	academy janitor
hattstofferare	hatuntäyttäjä	hat dresser
hautboist	oboisti, rykmentin esikuntaan kuuluva soittaja	oboist, regiment headquarter staff
hejderidare	metsänvartija	forest guard, ranger
hembiträde	kotiapulainen	housemaid
hemmansägare	talollinen	farmer, freeholder
hera	emäntä	hostess
herde, herdinna	paimen, naispaimen	shepherd (m) / (f)
herus	isäntä, valtias	master
hertig, hertiginna	herttua, herttuatar	duke, duchess
historieskrifvare, historiker	historioitsija	historian
hjelpdragon	apurakuuna	extra dragoon
hjulmakare	renkaan, rattaan tekijä	wheel maker
hjälphustru	apuemäntä	housekeeper
hofdam	hovinainen	lady in waiting
hofmålare	hovimaalari	court painter
hofråd	hovineuvos	secretary to the prime minister
honorarie pastor	kunniapastori	honorary pastor
honorarius praepositus	kunniarovasti	honorary dean
hoppman, hoppmann	hoppmanni, vouti, nimismies, päällikkö, kapteeni (tulee saks. sanasta Hauptmann)	sheriff, commandant, captain (derives from German Hauptmann)
hora	huora	whore
hovjunkare	hovijunkkari	courtier
hovkopparslagare	hovikupariseppä	court copper-smith
hovman	huovi, sotamies, etenkin ratsumies (vrt. knekt)	soldier, esp. cavalry troop (comp. knekt)
hovrättskommissar	hovioikeuden virkamies	senior officer of the Court of Appeal
hovrättsfiskal	hovioikeudenviskaali	assistant judge of the Court of Appeal
hovslagare	kengitysseppä	farrier
hufvudman, huvudman	päämies	head, principal
husa	kotiapulainen	housemaid
husar	husaari, ratsumies	hussar, cavalry soldier
husbonde	talonpoika, isäntä	farmer, master of the house
husfru	emäntä, rouva	hostess, housewife
hushållerska, hushållsmamsell	taloudenhoitaja	housekeeper
huslärare	kotiopettaja	tutor
husman	huonemies, loinen, tilattomaan väestöön kuuluva maatyöläinen, toisen luona ilman varsinaista vuokraa asuva, "kesti, läksiäin, purlakka, koturi"	lodger, person living in other people's home either for rent, for work or paid by social welfare
huspiga	sisäpiika	housemaid
huspredikant	kotisaarnaaja	home preacher. household chaplain
husvärd	talon isäntä	master of the house, landlord
hyrkusk	vuokra-ajuri	cab driver
hyresgäst	vuokralainen	lodger, tenant
hyresvärd	vuokraisäntä	landlord
hårfriseur	kampaaja	hairdresser
häradsnämdeman	kihlakunnan lautamies	district lay asessor
häradsdomare	kihlakunnan tuomari	disctrict court judge
häradshöfding	herastuomari, pitkäaikaisen nuhteettoman lautamiehen saama arvonimi	district court layman's honorary title, with long, good service
häradsprofoss	kihlakunnan sotapoliisi	district military prosecutor
häradsskrivare	henkikirjoittaja	district registrar
härförare	sotapäällikkö	mil. commander
härold	airut	herald
häxmästare	velho	magician, sorcerer
högvakt	päävahti	chief guard
hökare	muonakauppias	food tradesman
ilbud	pikalähetti	express orderly
infanterist	jalkaväen sotilas	infantry soldier
informator	kotiopettaja	tutor
ingeneur, ingenjör	insinööri	engineer, civil engineer
inhyses, inhysing, inneboende	itsellinen, loinen	lodger, person living in other people's home either for rent, for work or paid by social welfare
inkvisitor	inkvisiittori, kuulustelija	inquisitor
innehavare	liikkeenomistaja	proprietor
innevånare	asukas	inhabitant
inspektor	tilanhoitaja, varainhoitaja, pehtori	inspector, manager of an estate
